unique_id,metric,AutoARIMA,AutoETS,CES,AutoRegressive,MSTL,HoltWinters,AutoTheta,ADIDA,CrostonClassic,CrostonOptimized,CrostonSBA,IMAPA,SES,SESOpt,NHITS,NBEATS,TFT,TiDE,DeepAR,DeepAR-median,DeepAR-lo-90,DeepAR-lo-80,DeepAR-hi-80,DeepAR-hi-90,AutoNHITS,AutoPatchTST,AutoTimesNet,Chronos_tiny,Chronos_mini,Chronos_small
10_1000_14,smape,0.028177616429344465,0.02934825576197885,0.03370857731924056,0.024742026527786464,0.034574810630781154,0.04325256118585331,0.03314397493559216,0.02959647316930144,0.025230854821415467,0.02959647316930144,0.028679128384178344,0.02959647316930144,0.027348208444004325,0.02817753867389674,0.025171287240299718,0.025553553773219377,0.026631118296944714,0.038306445677775525,0.027863472124782778,0.0275681172803095,0.048761294690710985,0.028928082666243353,0.040905971391719746,0.04794176768981529,0.04440785506145996,0.02543759388389917,0.022386873259455833,0.04497850829991438,0.05786709009128427,0.08728101665139743
10_1100_14,smape,0.04970940376794078,0.06384478101633287,0.07158483858736334,0.048737221571880415,0.08550070338410198,0.10794332934016383,0.06516950057941825,0.0551750762542405,0.055197141416458526,0.0551750762542405,0.055185499785295127,0.0551750762542405,0.05510328031134921,0.0637697198153608,0.06320015931352033,0.06312099068720918,0.05958043106389714,0.06563693221773872,0.06103648297241468,0.06085865353736357,0.11756496754566108,0.0964977694831755,0.056609613179847786,0.05920631839240058,0.05801835176417931,0.05949396029849009,0.06320324935591533,0.09934664469729562,0.07941485801518366,0.04853032779704912
10_1101_16,smape,0.08997459044236192,5.633252485345895e-11,0.11367906286900578,0.08997459044236192,0.29666786372033993,0.4885675258818265,5.68004374206395e-07,0.1810561071939429,0.24194267748094722,0.1810561071939429,0.21765188981377623,0.1810561071939429,0.060530808040386574,5.687746583834691e-07,0.0039385317376428,0.00920616596128213,0.0003422749420310923,0.20832672158469312,0.009973089613400163,0.010129209520589436,0.007315623035949638,0.005532858559814457,0.01755817817239386,0.019917993647232755,0.17780924918913177,0.051908499446082695,0.010349850421597594,0.001506929141355217,0.002951999338498721,0.002951999338498721
10_1102_16,smape,0.00048794685380804706,0.00029078882402277243,0.027805157518071298,0.0500754226266828,0.0015526276040586106,0.002858561278854,0.000788608223787999,0.10256518893098696,0.24899221360416623,0.10256518893098696,0.27288087636280844,0.10256518893098696,0.07209052623995733,0.05036599732266643,0.04645451761411176,0.04704415180867129,0.020288766796247734,0.1486399669739502,0.03742943673154725,0.03587332399758311,0.07704048858963564,0.0666596347095059,0.01967879680186567,0.020329011586085043,0.0029255208798610434,0.059048742418294664,0.08605374943133959,0.02129877105264162,0.01767712676577362,0.07754004509163495
10_1104_16,smape,0.0010840111585582284,0.0010840111585582284,0.011365903408943553,0.03605533826887038,0.09368044118153784,0.09831485726288927,0.04256563754706785,0.0038332460785475385,0.1299722802621774,0.0038332460785475385,0.15509641362441126,0.0038332460785475385,0.005549843384959655,0.0010840120366492473,0.006304860125422531,0.012059891538096373,0.005477773262688732,0.012185684773654289,0.006954406581004799,0.0089033124970628,0.09280019891312646,0.06649950144553382,0.05220792624184269,0.07120009683752795,0.012755627605239715,0.004067740105804338,0.024226301946777537,0.007703467863115642,0.012573318187835612,0.02336750649453991
10_1104_2,smape,0.3412760978524248,0.34116948506722933,0.3103914126721058,0.33880493859858574,0.27402044862599706,0.302825756528202,0.2620772695459237,0.26283090595934255,0.36186724373783447,0.2913283561860667,0.38059853610466443,0.26283090595934255,0.2514641822185321,0.26283089521006436,0.27868439955498436,0.25952767078477884,0.2521810487824242,0.28788124459835995,0.25364859277451257,0.25351571830388464,0.26257526699756417,0.26020356310259973,0.25213914703547047,0.254564316406328,0.26978027379264247,0.25118831396780616,0.267351915965948,0.25936035593075724,0.27491219505385206,0.7501439844959088
10_1105_14,smape,0.22680000138513312,0.1433954995884279,0.13756203456617855,0.22680000138513312,0.20311073949306913,0.40338047985678444,0.1296652563309418,0.14327492630657124,0.1538030367547394,0.14327492630657124,0.14152841452033627,0.14327492630657124,0.14371256659997972,0.14310413130390043,0.1447878294153852,0.14335082738538557,0.1404388882087283,0.18738427942715907,0.16635774527258917,0.16542609496640173,0.32549761663951604,0.2548291591256886,0.3539563511609033,0.4152590839920417,0.11927850303929358,0.1379506220723301,0.12813666441688878,0.1423092090578864,0.17244898377304455,0.19933434280066098
10_1105_2,smape,0.25462550711465487,0.24895863508068614,0.2601673249922242,0.25462550711465487,0.30034309507121304,0.29983822486902895,0.24841704565691894,0.250013366326427,0.2654029673829274,0.250013366326427,0.28452570873250155,0.250013366326427,0.24891690280676765,0.24841704565692557,0.2508209661065085,0.24918563302720975,0.24942852981664587,0.2661576701589227,0.2486939235484978,0.2493285643782089,0.26642207547728886,0.2589246121991473,0.26262651021991995,0.2696019069740815,0.24938288591896418,0.2486249822572796,0.24913741272429984,0.5440438213115921,0.2631030223827352,0.24858480551044876
10_1106_2,smape,0.2586459691727582,0.25,0.2505159020134317,0.25705696588372756,0.2533802424187344,0.25647863777275964,0.25000000000000017,0.2510091475560527,0.2592822522075522,0.2510091475560527,0.27850397593085113,0.2510091475560527,0.2500696061059988,0.25,0.2500972382409438,0.2501472802856294,0.25176027985161903,0.25071875241612934,0.2502740465042689,0.2503426639839388,0.2528642702379708,0.2519122279231987,0.25155906625859575,0.25254757665575867,0.2501608603972614,0.2501026750206743,0.25189543797857006,0.25658517188718166,0.2763382432414116,0.43126679187128686
10_1107_16,smape,0.4729481244273686,0.4382621951219513,0.46879030013513245,0.4269601514073743,0.5286867730551574,0.5293507103582444,0.46101698339667346,0.4289299034027887,0.31650926907267424,0.4289299034027887,0.2932481345269318,0.4289299034027887,0.4378059189605067,0.4382621951219513,0.4440891324380569,0.4444410361300222,0.4450702253469956,0.4141796204153226,0.43418448883885175,0.43399714634882575,0.3911084823197019,0.40369560250603254,0.4632125004699328,0.47543656284654684,0.426721149567786,0.4394030974422881,0.44214014027732396,0.44148838454903305,0.4386601705023418,0.4410105937612579
