unique_id,metric,AutoARIMA,AutoETS,CES,AutoRegressive,MSTL,HoltWinters,AutoTheta,ADIDA,CrostonClassic,CrostonOptimized,CrostonSBA,IMAPA,SES,SESOpt,NHITS,NBEATS,TFT,TiDE,DeepAR,DeepAR-median,DeepAR-lo-90,DeepAR-lo-80,DeepAR-hi-80,DeepAR-hi-90,AutoNHITS,AutoPatchTST,AutoTimesNet,Chronos_tiny,Chronos_mini,Chronos_small
10_1101_14,smape,0.12426951628056625,0.12426951628060603,0.0888137899344445,0.11874104018963084,0.437357981068617,1.0,0.20171862965834408,0.12478511966267955,0.3289375064121508,0.12478511966267955,0.30620817894134256,0.12478511966267955,0.1255525650204372,0.12426955577197121,0.12378111948371351,0.12425300760385723,0.12394187102896834,0.0912881632197317,0.11709167445830909,0.11915690681773022,0.1337329728207462,0.13301060503212356,0.1370753667508968,0.1588820416150084,0.279593806624009,0.12460869275566644,0.14418151511711128,0.29413580653626437,0.12346261947769711,0.23051616211291434
10_1102_14,smape,0.14952663701704072,0.14951541413550568,0.22552937660883338,0.696294437716691,0.5985176620845346,0.9655753538203569,1.0,0.18561636895001418,0.7045842572935522,0.18561636895001418,0.6916569537135622,0.18561636895001418,0.1640782911435334,0.16231631829613322,0.15647446105859714,0.1468601251101964,0.13474286738307195,0.7743013864118917,0.25285518790408124,0.2895867330566771,1.0,1.0,0.507178547228235,0.6011355629950758,0.18635537442566985,0.15595736731169804,0.1307106219935481,0.2733235666692344,0.2733235666692344,0.7449391270174073
10_1104_14,smape,1.0,0.21604397670772982,0.09894400019290976,0.15812841929773036,0.64153588940172,0.9381166205857938,0.2163238766098971,0.37346061851588014,0.5575990093850771,0.37346061851588014,0.5398362079530643,0.37346061851588014,0.2910211570900003,0.2163239859140709,0.21585507891396877,0.21453301166444924,0.17839966877082236,0.5127317311393516,0.14668827968358095,0.13878202322330624,0.41974170140382516,0.3461302150881318,0.08721556974494901,0.10120882544198517,0.06731731397622995,0.2155524297277407,0.19051948112849743,0.45262294843405904,0.08961959347860873,0.5799297702534912
10_1105_16,smape,0.7540715724196485,0.0695816699496734,0.6948346501849788,0.2780063456933476,0.5390812375477372,0.7148419167119524,0.06427261905295673,0.17672267689886498,0.317991972150801,0.17672267689886498,0.2947542668613983,0.17672267689886498,0.023507761393301442,0.00010580317947524255,0.06206401459637356,0.0567094443727796,0.00017751526931149685,0.7568072966743341,0.0032037286314906283,0.003160312987620442,0.07801049801172988,0.057292773794753546,0.05256167653693529,0.07068014781875571,0.09379236861561493,0.010955816040866147,0.0009231240560877664,0.8962942329403831,0.006856729945173853,0.0014611434986088491
10_1108_2,smape,0.4880530652688684,0.4876626929861776,0.5046129704915652,0.6096490435866518,0.7423827653453378,1.0,0.7449701589568437,0.517530172838104,0.6758850263748095,0.517530172838104,0.6641882081931811,0.517530172838104,0.4894067664499385,0.48802330678871375,0.4875079450403982,0.4879164311307411,0.49024621205085683,0.5382232864859513,0.49919430020110306,0.4782603859835667,1.0,1.0,0.7541311518180444,0.783301274365912,0.6175401260327636,0.4876325571117239,0.5230723149113881,0.5742919406526441,0.5328957209830958,0.5461712489442637
10_1115_14,smape,1.0,0.9900417700764672,1.0,0.9900821188424086,1.0,1.0,0.9022374937910411,0.9837645550531513,0.9860463109789788,0.986046176559568,0.9853188986417364,0.9837645550531513,0.4584686793115834,0.9777105347197615,1.0,1.0,0.6843250900652378,0.9441597071020063,0.6785829820933345,0.6789528045393508,0.683267954248949,0.674986908110363,0.6783823535980236,0.6835772306467599,0.9917364772089051,0.7843894784233661,0.6804795625026661,0.9999777130784292,0.9999777130784292,0.9999777130784292
10_1115_16,smape,0.24330701815928416,0.23946344103287187,0.19739984420521553,0.21032825937014868,0.21206022451232392,0.714269618492355,0.24225249965353426,0.23115140805905388,0.20218403935422397,0.23115140805905388,0.19052640997976394,0.23115140805905388,0.233704702409653,0.24225249418250683,0.24241437135560387,0.24608561370903403,0.2440189222979342,0.26444125671585494,0.24352057904807753,0.24519948596760122,0.3474196865546165,0.3253890116084265,0.22240260911945292,0.21609177450516215,0.21775679773405593,0.24250677741830595,0.26167391194110606,0.4104295722332282,0.4173401579247582,0.30595020569476583
10_1116_14,smape,0.2457007996001918,0.12446289274548886,0.12429409313839063,0.28446535804352746,0.36577631723785464,0.6527520747773485,0.13374534372399485,0.30902820409614684,0.6021622239460535,0.30902820409614684,0.6179092641348823,0.30902820409614684,0.18236719841994614,0.12445286139491193,0.12420937604993533,0.12435155327402025,0.5861351012516003,0.4043137390831824,0.861098812520373,0.8294353185402581,1.0,1.0,0.5260424700497072,0.411735978564381,0.21946405095289526,0.12404141267590821,0.1501669822478044,0.1260390661250983,0.13120528271869406,0.12574586999255202
10_1116_16,smape,0.05267271837021228,0.05267495701920846,0.14680533960075368,0.34561664706487244,0.4230277157789428,0.765334260954779,0.061127665858766556,0.09319774305591434,0.46115915934482826,0.09319774305591434,0.440737994738954,0.09319774305591434,0.07550770574827091,0.053610362238693934,0.053677484772075915,0.05477995649414978,0.039261185449563155,0.1474014134951979,0.003990876897526415,0.0027741710743684495,0.06561720767762526,0.041523724516954436,0.03576107129463138,0.05438591897963884,0.017157902935367005,0.05245239834117311,0.036446731277548015,0.169155440232367,0.15849155556624273,0.0811936831704701
10_1302_16,smape,0.44009782171860845,0.3449628594606102,0.35257486524882375,0.8888134682317441,0.9575889446230662,0.9841850052845618,1.0,0.897648425825794,0.9611123299092811,0.9061967082465255,0.9591108781446216,0.897648425825794,0.5777283507283361,0.34901564763366005,0.5863274975900317,0.5763040045002008,1.0,0.9366484815381094,0.7684585547184994,0.820078405223303,1.0,1.0,0.7789693962608686,0.8480532581089566,0.2327735466947401,0.3582401848807385,1.0,0.5262082929897476,0.6520533937569619,0.8007704105366911
